,0,1,2
0 1,0.0,0.9276500846248894,0.0723499153751106
0 1 1 1 2,0.0,0.8056689670191927,0.1943310329808074
0 1 1 1 2 1 2,0.999999999989469,8.458858995202141e-13,9.685201963972512e-12
0 1 1 1 2 2 2,0.9999999999811067,1.8893329564963523e-11,0.0
0 1 1 1 3,0.0,0.8056689670191927,0.1943310329808074
0 1 1 1 3 1 2,0.999999999989469,8.458858995202141e-13,9.685201963972512e-12
0 1 1 1 3 2 2,0.9999999999811067,1.8893329564963523e-11,0.0
0 1 1 1 4,0.0,0.9244128800512137,0.0755871199487863
0 1 1 1 4 1 2,0.9999999999737844,2.429838843112244e-12,2.378567840863779e-11
0 1 1 1 4 2 2,0.9999999999936615,6.3384769640189735e-12,0.0
0 1 1 1 5,0.0,0.9244128800512137,0.0755871199487863
0 1 1 1 5 1 2,0.9999999999737844,2.429838843112244e-12,2.378567840863779e-11
0 1 1 1 5 2 2,0.9999999999936615,6.3384769640189735e-12,0.0
0 1 1 2,0.946112389201513,0.0355551270780388,0.018332483720448173
0 1 1 2 1 2,0.0,0.006792374016975517,0.9932076259830245
0 1 1 2 1 2 1 2,3.16005239503382e-07,3.3252173368486995e-09,0.9999996806695431
0 1 1 2 1 2 2 2,0.9999999999954776,4.522402149942701e-12,0.0
0 1 1 2 1 3,0.0,0.006792374016975517,0.9932076259830245
0 1 1 2 1 3 1 2,3.16005239503382e-07,3.3252173368486995e-09,0.9999996806695431
0 1 1 2 1 3 2 2,0.9999999999954776,4.522402149942701e-12,0.0
0 1 1 2 1 4,0.0,0.9659955072967079,0.03400449270329212
0 1 1 2 1 4 1 2,0.9999999992262334,3.0998655577979472e-12,7.706665367675295e-10
0 1 1 2 1 4 2 2,0.999999999867909,1.320909075832227e-10,0.0
0 1 1 2 1 5,0.0,0.9659955072967079,0.03400449270329212
0 1 1 2 1 5 1 2,0.9999999992262334,3.0998655577979472e-12,7.706665367675295e-10
0 1 1 2 1 5 2 2,0.999999999867909,1.320909075832227e-10,0.0
0 1 1 2 2 1 2,0.0,0.9999999995425216,4.5747851048109547e-10
0 1 1 2 2 1 2 1 2,0.7985841520282795,5.807629367956059e-12,0.20141584796591291
0 1 1 2 2 1 2 2 2,0.9809576977970232,0.01904230220297679,0.0
0 1 1 2 2 1 3,0.0,0.9999999995425216,4.5747851048109547e-10
0 1 1 2 2 1 3 1 2,0.7985841520282795,5.807629367956059e-12,0.20141584796591291
0 1 1 2 2 1 3 2 2,0.9809576977970232,0.01904230220297679,0.0
0 1 1 2 2 1 4,0.0,7.144056023256423e-10,0.9999999992855944
0 1 1 2 2 1 4 1 2,0.008129316660442263,0.008129316660442263,0.9837413666791155
0 1 1 2 2 1 4 2 2,0.9999999999912885,8.711444054172207e-12,0.0
0 1 1 2 2 1 5,0.0,7.144056023256423e-10,0.9999999992855944
0 1 1 2 2 1 5 1 2,0.008129316660442263,0.008129316660442263,0.9837413666791155
0 1 1 2 2 1 5 2 2,0.9999999999912885,8.711444054172207e-12,0.0
0 1 2 1 2,0.0,2.0474935459834945e-09,0.9999999979525065
0 1 2 1 2 1 2,0.9069424403612926,0.00200016155203062,0.09105739808667679
0 1 2 1 2 2 2,0.999999999993857,6.142976815638234e-12,0.0
0 1 2 1 3,0.0,2.0474935459834945e-09,0.9999999979525065
0 1 2 1 3 1 2,0.9069424403612926,0.00200016155203062,0.09105739808667679
0 1 2 1 3 2 2,0.999999999993857,6.142976815638234e-12,0.0
0 1 2 1 4,0.0,1.1210063112692753e-09,0.9999999988789937
0 1 2 1 4 1 2,0.21517580649354182,0.006267493488921812,0.7785567000175363
0 1 2 1 4 2 2,0.9999999999931277,6.872194893895557e-12,0.0
0 1 2 1 5,0.0,1.1210063112692753e-09,0.9999999988789937
0 1 2 1 5 1 2,0.21517580649354182,0.006267493488921812,0.7785567000175363
0 1 2 1 5 2 2,0.9999999999931277,6.872194893895557e-12,0.0
0 1 2 2,2.6974677399680055e-10,0.9999999997302533,0.0
0 1 2 2 1 2,0.0,0.8768310508096969,0.12316894919030305
0 1 2 2 1 2 1 2,0.999999999616341,4.1843701361917645e-12,3.7947466403679e-10
0 1 2 2 1 2 2 2,0.9999999999750628,2.4937197423132478e-11,0.0
0 1 2 2 1 3,0.0,0.8768310508096969,0.12316894919030305
0 1 2 2 1 3 1 2,0.999999999616341,4.1843701361917645e-12,3.7947466403679e-10
0 1 2 2 1 3 2 2,0.9999999999750628,2.4937197423132478e-11,0.0
0 1 2 2 1 4,0.0,0.43937833820033456,0.5606216617996655
0 1 2 2 1 4 1 2,2.1021111612236297e-08,5.0342868103700165e-12,0.999999978973854
0 1 2 2 1 4 2 2,0.9999999999945213,5.478718736088142e-12,0.0
0 1 2 2 1 5,0.0,0.43937833820033456,0.5606216617996655
0 1 2 2 1 5 1 2,2.1021111612236297e-08,5.0342868103700165e-12,0.999999978973854
0 1 2 2 1 5 2 2,0.9999999999945213,5.478718736088142e-12,0.0
0 2 1 1 1,0.0,0.9078385902507394,0.09216140974926057
0 2 1 1 1 1 2,3.5182995723175903e-13,0.20531226895904356,0.7946877310406046
0 2 1 1 1 2 2,5.198566513634995e-12,0.9999999999948014,0.0
0 2 1 2 1 1,0.0,1.6646132270199573e-06,0.999998335386773
0 2 1 2 1 1 1 2,1.798890068545829e-06,2.6678333241571525e-05,0.9999715227766899
0 2 1 2 1 1 2 2,4.491691780013886e-12,0.9999999999955084,0.0
0 2 1 2 2 1 1,0.0,6.573929610692736e-09,0.9999999934260704
0 2 1 2 2 1 1 1 2,0.0008834334574944055,0.0008834334574944055,0.9982331330850112
0 2 1 2 2 1 1 2 2,8.711444105217122e-12,0.9999999999912885,0.0
0 2 2 1 1,0.0,4.252909760369526e-09,0.9999999957470903
0 2 2 1 1 1 2,0.0009629449246417083,0.0009629449246417083,0.9980741101507166
0 2 2 1 1 2 2,6.142976829186055e-12,0.999999999993857,0.0
0 2 2 2 1 1,0.0,1.859846526335635e-09,0.9999999981401534
0 2 2 2 1 1 1 2,0.0011009827455710883,0.0011009827455710883,0.9977980345088577
0 2 2 2 1 1 2 2,3.0714884080712853e-12,0.9999999999969285,0.0
1 0,0.0,0.9276500846248894,0.0723499153751106
1 0 1 1 2,0.0,0.8056689670191927,0.1943310329808074
1 0 1 1 2 1 2,0.999999999989469,8.458858995202141e-13,9.685201963972512e-12
1 0 1 1 2 2 2,0.9999999999811067,1.8893329564963523e-11,0.0
1 0 1 1 3,0.0,0.8056689670191927,0.1943310329808074
1 0 1 1 3 1 2,0.999999999989469,8.458858995202141e-13,9.685201963972512e-12
1 0 1 1 3 2 2,0.9999999999811067,1.8893329564963523e-11,0.0
1 0 1 1 4,0.0,0.9244128800512137,0.0755871199487863
1 0 1 1 4 1 2,0.9999999999737844,2.429838843112244e-12,2.378567840863779e-11
1 0 1 1 4 2 2,0.9999999999936615,6.3384769640189735e-12,0.0
1 0 1 1 5,0.0,0.9244128800512137,0.0755871199487863
1 0 1 1 5 1 2,0.9999999999737844,2.429838843112244e-12,2.378567840863779e-11
1 0 1 1 5 2 2,0.9999999999936615,6.3384769640189735e-12,0.0
1 0 1 2,0.946112389201513,0.0355551270780388,0.018332483720448173
1 0 1 2 1 2,0.0,0.006792374016975517,0.9932076259830245
1 0 1 2 1 2 1 2,3.16005239503382e-07,3.3252173368486995e-09,0.9999996806695431
1 0 1 2 1 2 2 2,0.9999999999954776,4.522402149942701e-12,0.0
1 0 1 2 1 3,0.0,0.006792374016975517,0.9932076259830245
1 0 1 2 1 3 1 2,3.16005239503382e-07,3.3252173368486995e-09,0.9999996806695431
1 0 1 2 1 3 2 2,0.9999999999954776,4.522402149942701e-12,0.0
1 0 1 2 1 4,0.0,0.9659955072967079,0.03400449270329212
1 0 1 2 1 4 1 2,0.9999999992262334,3.0998655577979472e-12,7.706665367675295e-10
1 0 1 2 1 4 2 2,0.999999999867909,1.320909075832227e-10,0.0
1 0 1 2 1 5,0.0,0.9659955072967079,0.03400449270329212
1 0 1 2 1 5 1 2,0.9999999992262334,3.0998655577979472e-12,7.706665367675295e-10
1 0 1 2 1 5 2 2,0.999999999867909,1.320909075832227e-10,0.0
1 0 1 2 2 1 2,0.0,0.9999999995425216,4.5747851048109547e-10
1 0 1 2 2 1 2 1 2,0.7985841520282795,5.807629367956059e-12,0.20141584796591291
1 0 1 2 2 1 2 2 2,0.9809576977970232,0.01904230220297679,0.0
1 0 1 2 2 1 3,0.0,0.9999999995425216,4.5747851048109547e-10
